5 September 1988,Phrase,OPEN YOUR EYES,R S T L N E,Corvette,Yes,
6 September 1988,Person,LIZA MINNELLI,R S T L N E,$25000,Yes,
7 September 1988,,,,,,
8 September 1988,Phrase,PUT ON THE SPOT,S T R L N E,$25000,No,That sounds awkward and disjointed. Shouldn't it be "I was put on the spot" or something?
9 September 1988,,,,,,
12 September 1988,,,,,,
13 September 1988,,,,,,
14 September 1988,Place,TOMBSTONE ARIZONA,,,No,
15 September 1988,,,,,,
16 September 1988,,,,,,
19 September 1988,,,,,,
20 September 1988,Title,THE SPIRIT OF ST LOUIS,,,Yes,
21 September 1988,,,,,,
22 September 1988,Occupation,LION TAMER,,,No,
23 September 1988,,,,,,
26 September 1988,,,,,,
27 September 1988,,,,,,
28 September 1988,,,,,,
29 September 1988,,,,,,
30 September 1988,Thing,FIRST PRIZE,S T L N D E,$25000?,No,This was the last bonus round under the "five consonants and a vowel" rule.
3 October 1988,Occupation,BOOKKEEPER,,$25000,Yes,This was the first bonus round with the current "three more consonants and a vowel" rule.
4 October 1988,Place,THE VATICAN,C D M A,$25000,Yes,
7 October 1988,,,,,,
8 October 1988,,,,,,
9 October 1988,,,,,,
10 October 1988,,,,,,
11 October 1988,,,,,,
12 October 1988,,,,,,
13 October 1988,,,,,,
14 October 1988,,,,,,
17 October 1988,,,,,,
18 October 1988,,,,,,
19 October 1988,,,,,,
20 October 1988,,,,,,
21 October 1988,,,,,,
24 October 1988,,,,,No,
25 October 1988,Title,FLYING DOWN TO RIO,C D M O,$25000,Yes,Obscure title is obscure.
26 October 1988,Thing,POGO STICK,C D M A,Acura Legend LS,Yes,
27 October 1988,Title,YANKEE DOODLE,C D G A,Fred Joalier watch,Yes,
28 October 1988,Thing,FINGER PAINTING,C D P A,RV + Alaska tour,No,
31 October 1988,,,,,,
1 November 1988,,,,,,
2 November 1988,,,,,,
3 November 1988,,,,,,
4 November 1988,,,,,,
7 November 1988,,,,,,
8 November 1988,,,,,,
9 November 1988,,,,,,
10 November 1988,,,,,,
11 November 1988,,,,,,
14 November 1988,Person,JOE NAMATH,D M C A,$25000,Yes,
15 November 1988,Title,FOR ME AND MY GAL,C D M A,Porsche 911,Yes,
16 November 1988,Thing,APRICOT,A D G M,Porsche 911,No,
17 November 1988,Thing,MINK COAT,C D M A,Porsche 911,Yes,
18 November 1988,Thing,BLANK CHECK,M C D A,Porsche 911,Yes,
21 November 1988,Place,BROADWAY,D M C A,$25000,Yes,Oh come on that was totally after the buzzer.
22 November 1988,Thing,SQUASH,C P M A,$25000,Yes,
23 November 1988,Phrase,GOING BANANAS,B M D A,$25000,Yes,
24 November 1988,Phrase,THE HOLIDAY SPIRIT,P H D I,Pair of Cadillac Eldorados,Yes,
25 November 1988,Place,BANK VAULT,C H D A,$25000,No,
28 November 1988,,,,,,
29 November 1988,,,,,,
30 November 1988,,,,,,
2 January 1989,Thing,PIGTAIL,C D M O,$25000,No,
3 January 1989,,,,,,
4 January 1989,,,,,,
5 January 1989,,,,,,
6 January 1989,,,,,,
9 January 1989,,,,,,
10 January 1989,,,,,,
11 January 1989,,,,,,
12 January 1989,,,,,,
13 January 1989,,,,,,
16 January 1989,,,,,,
17 January 1989,,,,,,
18 January 1989,,,,,,
19 January 1989,,,,,,
20 January 1989,,,,,,
23 January 1989,,,,,,
24 January 1989,,,,,,
25 January 1989,,,,,,
26 January 1989,,,,,,
27 January 1989,,,,,,
30 January 1989,,,,,,
31 January 1989,,,,,,
4 September 1989,Title,BINGO,C P D A,not revealed,No,Pat just put the envelope back in the holder. Probably a quirk from the envelopes being new.
5 September 1989,Thing,CATCH PHRASE,D C M A,$32000 annuity,Yes,
6 September 1989,Thing,BUMPER CROP,C D P A,$25000,No,
7 September 1989,Phrase,ON GUARD,C D P O,Precious gems package,Yes,
8 September 1989,Things,VOWELS,C H M U,Convertible,No,Interesting puzzle.
11 September 1989,Thing,MARMALADE,C D M A,Corvette convertible,Yes,Do I even really need to put the "yes" there? I mean he filled in the whole puzzle.
12 September 1989,Thing,KANGAROO,C D G O,$48000 annuity,Yes,
13 September 1989,,,,,,
14 September 1989,,,,,,
15 September 1989,,,,,,
18 September 1989,Phrase,SLAPHAPPY,C P M A,Ford Mustang convertible,Yes,
19 September 1989,Phrase,BLOW OVER,B C D A,$25000,Yes,
20 September 1989,,,,,,
21 September 1989,Thing,LIFEBOAT,P H D A,Motor coach,No,
22 September 1989,,,,,,
25 September 1989,,,,,No,I may not know all the puzzles but the envelopes can be good indicators as to wins and losses.
26 September 1989,,,,,No,
27 September 1989,Thing,PADLOCK,B M P A,His & Hers cars,No,
28 September 1989,,,,,Yes,
29 September 1989,Person,GROWN-UP,C M D O,His & Hers cars,No,
2 October 1989,People,SQUADRON,C H M O,Jewelry package,Yes,
3 October 1989,Event,LUNCH BREAK,C D M A,Cadillac Seville,Yes,
4 October 1989,Phrase,HIGH AND DRY,D C M A,$25000,Yes,
5 October 1989,,,,,,
6 October 1989,Thing,BUMPY ROAD,B C G A,Sports car,No,
9 October 1989,Thing,CLIFF HANGER,B D G A,Gold watches,No,Isn't that one word?
10 October 1989,Thing,LIBRARY BOOK,C D G O,Touring coach,No,
11 October 1989,Thing,HORSEPLAY,F D M O,BMW,No,
12 October 1989,,,,,Yes,
13 October 1989,Person,MISSIONARY,C D M A,Watches,Yes,
16 October 1989,Person,MONARCH,P D M I,$25000,No,
17 October 1989,Thing,WHIPLASH,C D M A,$25000,No,
18 October 1989,,,,,Yes,
19 October 1989,Event,CLAMBAKE,M P C O,Orient cruise,Yes,Just barely got that in there.
20 October 1989,Place,DOG HOUSE,C D M A,Avanti convertible,Yes,
23 October 1989,Thing,QUOTATION,C M P A,Annuity,No,
24 October 1989,,,,,Yes,
25 October 1989,Thing,JACK OF CLUBS,C D M A,$25000,No,
26 October 1989,Place,COMMONWEALTH,C D M I,18-karat watches,Yes,
27 October 1989,Thing,WHIPPED CREAM,D M W A,Annuity,Yes,
30 October 1989,Thing,BLACKBOARD,C F D I,High-tech package,Yes,TV camcorder computer and cell phone to be exact.
31 October 1989,Thing,PIECE OF CAKE,C D M O,European tour,Yes,
1 November 1989,,,,,,
2 November 1989,,,,,,
3 November 1989,,,,,,
6 November 1989,,,,,,
7 November 1989,,,,,,
8 November 1989,,,,,,
9 November 1989,,,,,,
10 November 1989,,,,,,
13 November 1989,Person,A FLIRT,F C M I,Avanti sedan,Yes,What was with that weird A on top?
14 November 1989,Thing,MOOT POINT,C M H I,14 karat bracelet,No,
15 November 1989,Person,VAGABOND,C H D A,14 karat bracelet,No,
16 November 1989,Thing,WHITE BREAD,C G P A,Caribbean trip,Yes,
17 November 1989,Occupation,MAYOR,C G M A,14 karat bracelet,Yes,
20 November 1989,,,,,,
21 November 1989,,,,,,
22 November 1989,,,,,,
23 November 1989,,,,,,
24 November 1989,,,,,,
27 November 1989,,,,,,
28 November 1989,,,,,,
29 November 1989,,,,,,
30 November 1989,,,,,,
1 December 1989,,,,,,
4 December 1989,Thing,FRUIT JUICE,C M D A,Annuity,No,
5 December 1989,,,,,No,
6 December 1989,Occupation,TOUR GUIDE,G D M O,Precious Metals,Yes,
7 December 1989,,,,Sports car,Yes,
8 December 1989,Thing,ATOM,B M P A,$25000,Yes,
11 December 1989,,,,,,
12 December 1989,,,,,,
13 December 1989,,,,,,
14 December 1989,,,,,,
15 December 1989,,,,,,
18 December 1989,,,,,,
19 December 1989,,,,,,
20 December 1989,,,,,,
21 December 1989,,,,,,
22 December 1989,Thing,ANATOMY,D C M A,$25000,Yes,
25 December 1989,,,,,,
26 December 1989,,,,,,
27 December 1989,,,,,,
28 December 1989,,,,,,
29 December 1989,Place,TAMPA FLORIDA,H M D I,$40000 annuity,Yes,
8 January 1990,Person,CHOIRBOY,D C M A,Toyota Celica,No,
9 January 1990,Thing,PIE A LA MODE,C P M A,Sport boat,Yes,
10 January 1990,Place,FAMILY ROOM,C D H O,Cadillac Eldorado,Yes,
11 January 1990,Thing,GIBBERISH,H M C A,His-and-hers Rolex diamond watches,No,
12 January 1990,People,CAVALCADE,C D M O,$25000,Yes,
15 January 1990,,,,,,
16 January 1990,,,,,,
17 January 1990,,,,,,
18 January 1990,,,,,,
19 January 1990,,,,,,
22 January 1990,,,,,,
23 January 1990,Thing,CLAY PIGEON,B C H A,Chevrolet,No,
24 January 1990,,,,,,
25 January 1990,,,,,,
26 January 1990,,,,,,
29 January 1990,,,,,,
30 January 1990,Thing,HEADACHE,D P M A,$30000 savings bonds,Yes,
31 January 1990,Phrase,ALL GROWN-UP,P D C A,Tour of Europe,Yes,
1 February 1990,Place,NIGHT CLUB,C D M O,$25000,Yes,
2 February 1990,Title,SHOW BOAT,C D M O,Andy Warhol art,No,
5 February 1990,Person,DICTATOR,D G P A,$25000,Yes,
6 February 1990,Thing,MAILBOX,C D M A,$40000 annuity,Yes,
7 February 1990,Thing,ACCUSATION,C M P I,Porsche 944,Yes,
8 February 1990,,,,,,
9 February 1990,,,,,,
12 February 1990,,,,,,
13 February 1990,,,,,,
14 February 1990,,,,,,
15 February 1990,,,,,,
16 February 1990,,,,,,
19 February 1990,Phrase,PIPING HOT,C H D O,Bracelet,No,
20 February 1990,,,,,,
21 February 1990,,,,,,
22 February 1990,Title,GUNSMOKE,H C P A,Bracelet,No,
23 February 1990,,,,,,
26 February 1990,,,,,Yes,
27 February 1990,,,,,Yes,
28 February 1990,,,,,Yes,
1 March 1990,,,,,Yes,
2 March 1990,Thing,OSCAR AWARD,C D M O,European tour,Yes,
5 March 1990,,,,Cadillac Seville,No,
6 March 1990,Phrase,BRANCH OUT,C D G A,Cadillac Seville,No,
7 March 1990,,,,,Yes,
8 March 1990,,,,,No,
9 March 1990,Thing,HOT DOG,G M P O,Cadillac Seville,Yes,
12 March 1990,Phrase,AT ITS PEAK,P K G A,,Yes,
13 March 1990,Thing,EXIT DOOR,C D M A,Toyota Celica,No,
14 March 1990,Title,BEWITCHED,D C V I,Toyota Celica,Yes,
15 March 1990,Thing,COAT POCKET,C D M A,Regal Ambassador boat,Yes,
16 March 1990,Phrase,HIGHER AND HIGHER,D M C A,Ring,No,
19 March 1990,,,,,,
20 March 1990,,,,,,
21 March 1990,,,,,,
22 March 1990,,,,,,
23 March 1990,,,,,,
26 March 1990,,,,,Yes,
27 March 1990,Thing,NICKNAME,D M C O,,Yes,
28 March 1990,,,,,,
29 March 1990,,,,,,
30 March 1990,Thing,DIAMOND RING,K C G I,Convertible,No,
1 May 1990,,,,,,
2 May 1990,Place,MICHIGAN,M D P I,Precious metals,Yes,
3 May 1990,,,,,,
4 May 1990,,,,,,
7 May 1990,Thing,PHONOGRAPH,C D G A,$25000,No,
8 May 1990,,,,,,
9 May 1990,,,,,,
10 May 1990,Phrase,HOLY SMOKE,F C M A,Annuity,No,
11 May 1990,,,,,,
14 May 1990,,,,,,
15 May 1990,,,,,,
16 May 1990,,,,,,
17 May 1990,,,,,,
18 May 1990,Phrase,CUT AND DRIED,G P M A,His & Hers cars,No,
21 May 1990,,,,,,
22 May 1990,,,,,,
23 May 1990,,,,,,
24 May 1990,,,,,,
25 May 1990,,,,,,
28 May 1990,,,,,,
29 May 1990,Event,DRAG RACE,C D M I,Ear clips,Yes,
30 May 1990,Event,BOXING MATCH,C D M O,Golf package,Yes,Pinseeker golf clubs trip to Orlando and a Volkswagen Cabriolet.
31 May 1990,,,,,,
1 June 1990,Thing,TAP-DANCING,D M G I,$25000,Yes,
4 June 1990,,,,,,
5 June 1990,,,,,,
6 June 1990,,,,,,
7 June 1990,,,,,,
8 June 1990,Phrase,GOING CRAZY,C D M A,Avanti car,No,
11 June 1990,,,,,,
12 June 1990,,,,,,
13 June 1990,,,,,,
14 June 1990,Person,PICKLE-PUSS,D B M O,Driving vacation,No,Seems like a really obscure choice.
15 June 1990,Phrase,BLOW UP,C B M I,Precious metals,No,
7 September 1992,Thing,FROG,C M D A,Cadillac Eldorado,Yes,
8 September 1992,,,,,,
9 September 1992,,,,,,
10 September 1992,Slang,CHILL OUT,B M C A,France trip,Yes,
11 September 1992,Phrase,YOU DON'T SAY,,,,
14 September 1992,Person,VINCENT VAN GOGH,C P D A,Toyota Camry XLE,Yes,
15 September 1992,Slang,FLICK,C G H I,Yamaha keyboard + Ameche painting,Yes,That category sure got a lot of mileage in the Bonus Round for its short life...
16 September 1992,,,,,No,
17 September 1992,Thing,BUNNY RABBIT,P M C A,Singapore trip,Yes,
18 September 1992,Thing,COPYRIGHT,C P M O,Precious metals package,Yes,
21 September 1992,,,,,,
22 September 1992,,,,,,
23 September 1992,Thing,CORK,C D H O,Gazebo/spa package,No,I still have no clue how he missed that. Eh it happens.
24 September 1992,Thing,BOW TIE,C H P I,Gazebo/spa package,No,
25 September 1992,Phrase,RAISE A RUCKUS,,,Yes,
28 September 1992,,,,,No,
29 September 1992,Thing,FIGURE EIGHT,C M D A,$25000,No,
30 September 1992,,,,,,
1 October 1992,,,,,,
2 October 1992,,,,,,
5 October 1992,Thing,WAX,H M C A,Volvo 940 GLE,Yes,Charlie called it a GLS which I think is a slip of the tongue.
6 October 1992,,,,Grand piano,Yes,
7 October 1992,,,,Entertainment center,Yes,
8 October 1992,Place,ZOO,C D Z O,$25000,Yes,I don't know which solve is more impressive — this or WAX.
9 October 1992,,,,,,
12 October 1992,,,,,No,
13 October 1992,,,,,No,
14 October 1992,Place,CINEMA,M V D A,Coral/malachite/lapis/diamond choker,Yes,
15 October 1992,,,,,,
16 October 1992,,,,,,
19 October 1992,,,,,,
20 October 1992,,,,,,
21 October 1992,,,,,,
22 October 1992,Person,BABY BOY,,,Yes,
23 October 1992,Thing,WIG,M C H A,$25000,No,
26 October 1992,Things,BOOTS,C D M O,Chevy Corvette,Yes,
27 October 1992,,,,,,
28 October 1992,,,,,,
29 October 1992,,,,,,
30 October 1992,,,,,,
