Category,Puzzle,Letters
Phrase,OPEN YOUR EYES,
Person,LIZA MINNELLI,
Phrase,PUT ON THE SPOT,
Place,TOMBSTONE ARIZONA,
Title,THE SPIRIT OF ST LOUIS,
Occupation,LION TAMER,
Thing,FIRST PRIZE,
Occupation,BOOKKEEPER,
Place,THE VATICAN,C D M A
Title,FLYING DOWN TO RIO,C D M O
Thing,POGO STICK,C D M A
Title,YANKEE DOODLE,C D G A
Thing,FINGER PAINTING,C D P A
Person,JOE NAMATH,D M C A
Title,FOR ME AND MY GAL,C D M A
Thing,APRICOT,A D G M
Thing,MINK COAT,C D M A
Thing,BLANK CHECK,M C D A
Place,BROADWAY,D M C A
Thing,SQUASH,C P M A
Phrase,GOING BANANAS,B M D A
Phrase,THE HOLIDAY SPIRIT,P H D I
Place,BANK VAULT,C H D A
Thing,PIGTAIL,C D M O
Title,BINGO,C P D A
Thing,CATCH PHRASE,D C M A
Thing,BUMPER CROP,C D P A
Phrase,ON GUARD,C D P O
Things,VOWELS,C H M U
Thing,MARMALADE,C D M A
Thing,KANGAROO,C D G O
Phrase,SLAPHAPPY,C P M A
Phrase,BLOW OVER,B C D A
Thing,LIFEBOAT,P H D A
Thing,PADLOCK,B M P A
Person,GROWN-UP,C M D O
People,SQUADRON,C H M O
Event,LUNCH BREAK,C D M A
Phrase,HIGH AND DRY,D C M A
Thing,BUMPY ROAD,B C G A
Thing,CLIFF HANGER,B D G A
Thing,LIBRARY BOOK,C D G O
Thing,HORSEPLAY,F D M O
Person,MISSIONARY,C D M A
Person,MONARCH,P D M I
Thing,WHIPLASH,C D M A
Event,CLAMBAKE,M P C O
Place,DOG HOUSE,C D M A
Thing,QUOTATION,C M P A
Thing,JACK OF CLUBS,C D M A
Place,COMMONWEALTH,C D M I
Thing,WHIPPED CREAM,D M W A
Thing,BLACKBOARD,C F D I
Thing,PIECE OF CAKE,C D M O
Person,A FLIRT,F C M I
Thing,MOOT POINT,C M H I
Person,VAGABOND,C H D A
Thing,WHITE BREAD,C G P A
Occupation,MAYOR,C G M A
Thing,FRUIT JUICE,C M D A
Occupation,TOUR GUIDE,G D M O
Thing,ATOM,B M P A
Thing,ANATOMY,D C M A
Place,TAMPA FLORIDA,H M D I
Person,CHOIRBOY,D C M A
Thing,PIE A LA MODE,C P M A
Place,FAMILY ROOM,C D H O
Thing,GIBBERISH,H M C A
People,CAVALCADE,C D M O
Thing,CLAY PIGEON,B C H A
Thing,HEADACHE,D P M A
Phrase,ALL GROWN-UP,P D C A
Place,NIGHT CLUB,C D M O
Title,SHOW BOAT,C D M O
